Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
1,0.048,0.073,0.116,0.239,0.395,0.553,0.762,0.867,1.042,1.183,1.298,1.489,1.702,1.856,2.042,2.184,2.357,2.519,2.683,2.802,2.956,3.102,3.239,3.418,3.562,3.68,3.837,3.25,100
13,0.795,1.186,1.527,1.857,2.187,2.517,2.857,3.187,3.517,3.847,4.177,4.507,4.837,5.167,5.497,5.827,6.157,6.487,6.817,7.147,7.477,7.807,8.137,8.467,8.797,9.127,4.565,6.545,1200
7535,-2.496897568,2.248108588,1.027287518,-0.208082512,-0.28466857,0.051691622,0.337723153,0.120440895,3.144748395,2.319937513,2.241242395,-1.924606635,0.544179108,0.677034183,-1.605577765,-0.920547552,0.788835547,-0.210811863,-0.282031611,1.142102292,-0.418993718,0.129525017,-0.083304443,0.162773647,0.11905971,0.339559893,1.119957449,0.542008401,7.49
7535,0.026779226,4.132463897,-6.560599968,6.348556673,1.329665669,-2.513478848,-1.6891022,0.303252801,-3.139409057,-6.045467798,6.754625448,-8.948178579,0.702724998,-10.7338541,-1.379519857,-1.638960115,-1.746350136,0.776744098,-1.327356635,0.587743219,0.370508651,-0.576752473,-0.669605372,-0.75990753,1.60505555,0.540675396,0.737040382,0.496699108,1
7538,-1.332883837,1.061150897,2.006449807,0.335083082,-0.464915525,-0.021190516,0.146869531,0.132415185,2.049380032,-0.079349247,0.662529104,-2.048198442,1.870365741,0.726216411,-0.645463524,-0.655263542,0.949372533,-0.371472346,-0.654746678,0.315771233,-0.107194367,0.6635483,-0.169461273,0.407201203,-0.168003587,0.379272324,0.119636417,-0.178640793,29.99
7543,0.329594333,3.712889295,-5.775935108,6.078265506,1.667359013,-2.420168414,-0.812891249,0.133080118,-2.214311312,-5.134454471,4.560720106,-8.873748362,-0.7974836,-9.17716637,-0.257024775,-0.87168849,1.313013629,0.773913873,-2.370599451,0.269772776,0.156617169,-0.652450441,-0.551572219,-0.716521635,1.415716615,0.55526474,0.530507389,0.404474055,1
7549,-0.018934938,0.605479347,1.137534445,2.021225069,0.141565023,-0.718487031,-0.191624474,-0.194662179,1.044716616,0.129598585,1.458831834,-1.895812294,2.24651832,1.604513912,1.141945868,-0.892331186,1.209303559,-0.478280442,0.527397571,-0.234686301,-0.239660403,-0.273905905,0.188732181,0.534994295,-0.94615519,-0.583941298,-0.11785011,-0.118668605,9.99
7551,0.316459,3.809075947,-5.615159011,6.047445102,1.554025957,-2.651353112,-0.746579273,0.055586311,-2.678678542,-4.959492912,6.439053352,-7.520117393,0.386351667,-9.252307247,-1.365188415,-0.502362191,0.784426598,1.494304607,-1.808012159,0.388307428,0.208828369,-0.511746619,-0.583813221,-0.219845029,1.474752584,0.491191926,0.518868285,0.402528068,1
7551,0.861826713,1.525915809,-3.253112605,0.707705668,3.561779822,2.433555567,0.279024879,0.639114211,0.812400644,-1.498483272,1.884503419,-3.353690669,1.356982114,-1.940624045,0.539613088,1.137584504,3.059934149,2.239132464,-0.242477776,0.175207015,-0.351420405,-0.662571248,0.059123584,0.594651402,-0.325580606,-0.424495324,0.232602302,0.001630824,1.5
7554,-0.315284972,2.429078069,-2.448285016,1.779852229,0.472790653,-1.275239025,-0.053111844,0.746445475,0.610763754,-1.459124109,3.472191239,-2.08441843,1.247690149,-1.291908208,-0.152441931,0.872906653,3.990511547,1.842961349,-0.794917428,-0.099864877,-0.137552699,-0.145288801,0.283711455,-0.195462725,-0.527633001,-0.441903313,-0.034412589,-0.073620245,3.99
