Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
84378,-1.036530664,-0.583926115,2.209942264,-1.04669921,0.347279826,0.247605109,-0.559453234,0.298559591,1.235978952,-0.870724852,1.572269684,0.796072872,-0.944898635,-0.014445344,1.39527706,-1.276212513,0.376217405,0.104464739,0.99569889,0.045753851,0.163788388,0.751524514,-0.127951934,-0.272957131,-0.320903142,-0.625882138,-0.095321342,0.000577169,1
84378,1.284386923,0.085265017,-0.020598288,0.023734359,-0.100607756,-0.577202633,0.142218844,-0.16792729,-0.13420957,-0.043366061,1.065861233,1.37454211,0.830811791,0.14982359,-0.677815525,-0.048118929,-0.369307907,-0.270010385,0.705865482,-0.017946268,-0.048398157,0.023579144,-0.147742544,0.133466824,0.593345738,1.089885665,-0.091650899,-0.018856491,2
84378,1.116321011,-0.521016531,0.870835322,-0.93639107,-0.809979384,0.433783512,-0.854975861,0.411624333,1.605046138,-0.989824809,1.654363446,1.423400004,-0.505923679,0.172765372,1.115368516,-0.820930418,0.186704383,-0.181231457,0.123754556,-0.200542935,0.091545782,0.530594699,0.01628462,-0.272232,0.311049754,-0.643593971,0.120796905,0.017599168,1
84379,-1.769627949,1.180022512,0.541841548,0.449457749,-1.812588613,0.41675437,-1.067763754,0.917916931,-0.807138703,0.697548667,-1.064930408,0.811014008,1.415880828,-0.188802271,0.134789774,-2.029576659,0.854150773,1.037562471,-0.623020093,-0.877746325,0.02577567,0.415805743,0.114252948,0.099105651,-0.374911558,-0.297078427,-1.258790099,-0.404853534,44.95
84379,-0.862899236,0.343548516,1.989119486,0.274251007,0.699374253,1.31768418,0.119821028,0.172092418,0.260285062,-0.101464946,0.171040052,0.975217777,1.0211362,-0.769213275,-0.474074014,0.052592896,-0.811524812,0.396411423,0.369182756,-0.00402975,0.019494671,0.444679,-0.099875202,-1.132573424,-0.186974016,-0.45004501,-0.228640845,-0.036222452,9.99
84379,-1.460067081,-0.627228788,2.247180765,-0.822582699,0.066110981,0.416519256,-0.488835732,0.495534363,0.901351191,-1.12858367,1.590484561,0.906312422,-0.663350847,0.121420356,1.608613607,-1.283391966,0.585268888,0.163141518,1.400051646,-0.132601015,0.103134071,0.746127835,0.518975618,-0.282988285,0.273295093,-0.441531283,0.169130399,-0.019447732,1
84379,1.116068402,-0.545972821,0.86367282,-0.933043629,-0.840722843,0.425587572,-0.878347394,0.431194975,1.657206125,-0.979707026,1.59561645,1.240190412,-0.850407209,0.241321866,1.153164264,-0.804771396,0.206389685,-0.138967467,0.126080368,-0.222614172,0.087585057,0.502382285,0.02041944,-0.28166366,0.299393967,-0.642439583,0.118544932,0.016859329,1
84380,1.115866315,-0.565937852,0.857942817,-0.930365676,-0.86531761,0.41903082,-0.89704462,0.446851488,1.698934116,-0.971612799,1.548618854,1.093622738,-1.125994033,0.296167061,1.183400864,-0.791844178,0.222137926,-0.105156275,0.127941017,-0.240271162,0.084416477,0.479812354,0.023727296,-0.289208989,0.290069337,-0.641516072,0.116743354,0.016267457,1
84380,1.116270489,-0.526007789,0.869402822,-0.935721582,-0.816128075,0.432144324,-0.859650168,0.415538462,1.615478135,-0.987801253,1.642614047,1.386758086,-0.574820385,0.18647667,1.122927665,-0.817698614,0.190641444,-0.172778659,0.124219719,-0.204957182,0.090753637,0.524952217,0.017111584,-0.274118332,0.308718596,-0.643363093,0.12034651,0.0174512,1
84381,0.880557807,0.198704654,0.326898087,2.750112405,0.167777217,0.949086347,-0.212451798,0.433986569,-0.400776387,0.13034497,1.340192734,0.416583604,-1.060056009,-0.89298729,-0.883252382,0.10750844,1.078876636,-0.330515409,-1.236070801,-0.101041377,0.000498054,0.039316753,-0.102372185,-0.374544692,0.396463266,0.114658642,0.033072122,0.038875483,75.31
